strom;guildy;pocet;cas;treatment
M1;predatori;2;zacatek;meja
M1;listozravi clenovci;3;zacatek;meja
M1;mizu sajici clenovci;0;zacatek;meja
M1;ostatni;0;zacatek;meja
M2;predatori;0;zacatek;meja
M2;listozravi clenovci;10;zacatek;meja
M2;mizu sajici clenovci;6;zacatek;meja
M2;ostatni;0;zacatek;meja
M3;predatori;2;zacatek;meja
M3;listozravi clenovci;1;zacatek;meja
M3;mizu sajici clenovci;1;zacatek;meja
M3;ostatni;1;zacatek;meja
M4;predatori;4;zacatek;meja
M4;listozravi clenovci;0;zacatek;meja
M4;mizu sajici clenovci;1;zacatek;meja
M4;ostatni;0;zacatek;meja
M5;predatori;2;zacatek;meja
M5;listozravi clenovci;1;zacatek;meja
M5;mizu sajici clenovci;2;zacatek;meja
M5;ostatni;0;zacatek;meja
M6;predatori;2;zacatek;meja
M6;listozravi clenovci;3;zacatek;meja
M6;mizu sajici clenovci;0;zacatek;meja
M6;ostatni;1;zacatek;meja
M7;predatori;3;zacatek;meja
M7;listozravi clenovci;4;zacatek;meja
M7;mizu sajici clenovci;1;zacatek;meja
M7;ostatni;0;zacatek;meja
M8;predatori;4;zacatek;meja
M8;listozravi clenovci;2;zacatek;meja
M8;mizu sajici clenovci;1;zacatek;meja
M8;ostatni;1;zacatek;meja
M9;predatori;8;zacatek;meja
M9;listozravi clenovci;2;zacatek;meja
M9;mizu sajici clenovci;1;zacatek;meja
M9;ostatni;3;zacatek;meja
M10;predatori;4;zacatek;meja
M10;listozravi clenovci;3;zacatek;meja
M10;mizu sajici clenovci;1;zacatek;meja
M10;ostatni;0;zacatek;meja
M11;predatori;1;zacatek;meja
M11;listozravi clenovci;1;zacatek;meja
M11;mizu sajici clenovci;0;zacatek;meja
M11;ostatni;0;zacatek;meja
M12;predatori;1;zacatek;meja
M12;listozravi clenovci;0;zacatek;meja
M12;mizu sajici clenovci;1;zacatek;meja
M12;ostatni;2;zacatek;meja
M13;predatori;6;zacatek;meja
M13;listozravi clenovci;1;zacatek;meja
M13;mizu sajici clenovci;33;zacatek;meja
M13;ostatni;0;zacatek;meja
M14;predatori;8;zacatek;meja
M14;listozravi clenovci;3;zacatek;meja
M14;mizu sajici clenovci;0;zacatek;meja
M14;ostatni;2;zacatek;meja
M15;predatori;3;zacatek;meja
M15;listozravi clenovci;1;zacatek;meja
M15;mizu sajici clenovci;0;zacatek;meja
M15;ostatni;1;zacatek;meja
M1;predatori;2;konec;meja
M1;listozravi clenovci;0;konec;meja
M1;mizu sajici clenovci;5;konec;meja
M1;ostatni;1;konec;meja
M2;predatori;0;konec;meja
M2;listozravi clenovci;0;konec;meja
M2;mizu sajici clenovci;2;konec;meja
